taco_id,original,display
146,"Polvilho, doce",Polvilho doce
147,"Quiabo, cru",Quiabo cru
148,"Rabanete, cru",Rabanete cru
149,"Repolho, branco, cru",Repolho branco cru
150,"Repolho, roxo, cru",Repolho roxo cru
151,"Repolho, roxo, refogado",Repolho roxo refogado
152,"Rúcula, crua",Rúcula crua
153,"Salsa, crua",Salsa crua
154,"Seleta de legumes, enlatada",Seleta de legumes enlatada
155,"Serralha, crua",Serralha crua
156,"Taioba, crua",Taioba crua
157,"Tomate, com semente, cru",Tomate com semente cru
158,"Tomate, extrato",Tomate extrato
159,"Tomate, molho industrializado",Tomate molho industrializado
160,"Tomate, purê",Tomate purê
161,"Tomate, salada",Tomate salada
162,"Vagem, crua",Vagem crua
163,"Abacate, cru",Abacate cru
164,"Abacaxi, cru",Abacaxi cru
165,"Abacaxi, polpa, congelada",Abacaxi polpa congelada
166,"Abiu, cru",Abiu cru
167,"Açaí, polpa, com xarope de guaraná e glucose",Açaí polpa com xarope de guaraná e glucose
168,"Açaí, polpa, congelada",Açaí polpa congelada
169,"Acerola, crua",Acerola crua
170,"Acerola, polpa, congelada",Acerola polpa congelada
171,"Ameixa, calda, enlatada",Ameixa calda enlatada
172,"Ameixa, crua",Ameixa crua
173,"Ameixa, em calda, enlatada, drenada",Ameixa em calda enlatada drenada
174,"Atemóia, crua",Atemóia crua
175,"Banana, da terra, crua",Banana da terra crua
176,"Banana, doce em barra",Banana doce em barra
177,"Banana, figo, crua",Banana figo crua
178,"Banana, maçã, crua",Banana maçã crua
179,"Banana, nanica, crua",Banana nanica crua
180,"Banana, ouro, crua",Banana ouro crua
181,"Banana, pacova, crua",Banana pacova crua
182,"Banana, prata, crua",Banana prata crua
183,"Cacau, cru",Cacau cru
184,"Cajá-Manga, cru",Cajá-Manga cru
185,"Cajá, polpa, congelada",Cajá polpa congelada
186,"Caju, cru",Caju cru
187,"Caju, polpa, congelada",Caju polpa congelada
188,"Caju, suco concentrado, envasado",Caju suco concentrado envasado
189,"Caqui, chocolate, cru",Caqui chocolate cru
190,"Carambola, crua",Carambola crua
191,"Ciriguela, crua",Ciriguela crua
192,"Cupuaçu, cru",Cupuaçu cru
193,"Cupuaçu, polpa, congelada",Cupuaçu polpa congelada
194,"Figo, cru",Figo cru
195,"Figo, enlatado, em calda",Figo enlatado em calda
196,"Fruta-pão, crua",Fruta-pão crua
197,"Goiaba, branca, com casca, crua",Goiaba branca com casca crua
198,"Goiaba, doce em pasta",Goiaba doce em pasta
199,"Goiaba, doce, cascão",Goiaba doce cascão
200,"Goiaba, vermelha, com casca, crua",Goiaba vermelha com casca crua
201,"Graviola, crua",Graviola crua
202,"Graviola, polpa, congelada",Graviola polpa congelada
203,"Jabuticaba, crua",Jabuticaba crua
204,"Jaca, crua",Jaca crua
205,"Jambo, cru",Jambo cru
206,"Jamelão, cru",Jamelão cru
207,"Kiwi, cru",Kiwi cru
208,"Laranja, baía, crua",Laranja baía crua
209,"Laranja, baía, suco",Laranja baía suco
210,"Laranja, da terra, crua",Laranja da terra crua
211,"Laranja, da terra, suco",Laranja da terra suco
212,"Laranja, lima, crua",Laranja lima crua
213,"Laranja, lima, suco",Laranja lima suco
214,"Laranja, pêra, crua",Laranja pêra crua
215,"Laranja, pêra, suco",Laranja pêra suco
216,"Laranja, valência, crua",Laranja valência crua
217,"Laranja, valência, suco",Laranja valência suco
218,"Limão, cravo, suco",Limão cravo suco
219,"Limão, galego, suco",Limão galego suco
220,"Limão, tahiti, cru",Limão tahiti cru
221,"Maçã, Argentina, com casca, crua",Maçã Argentina com casca crua
