page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
59,Iogurte polpa de fruta morango,86.0,15.4,1.5,,,False,"Iogurte, sabor morango",0.4
59,Iogurte polpa de fruta morango,111.0,18.0,2.9,,,False,"Iogurte, sabor morango",0.4
60,Iogurte polpa de fruta morango •,78.0,14.46,0.55,,,False,"Iogurte, sabor morango",0.4
60,Iogurte polpa de fruta morango •,97.9,19.84,,,,False,"Iogurte, sabor morango",0.4
60,Iogurte polpa de fruta morango ·,97.9,19.84,,,,False,"Iogurte, sabor morango",0.4
60,Iogurte polpa de fruta morango com,84.0,16.5,1.1,,,False,"Iogurte, sabor morango",0.4
60,Iogurte polpa de fruta morango com,123.2,22.6,2.08,,,False,"Iogurte, sabor morango",0.4
60,Iogurte polpa de fruta pêssego ·,77.0,14.4,0.55,,,False,"Iogurte, sabor pêssego",0.4
61,Jabuticaba,51.3,10.8,0.1,1.0,0.3,False,"Jabuticaba, crua",0.5
61,Jaca,94.0,24.0,0.3,1.48,1.6,False,"Jaca, crua",0.5
61,Jiló,38.0,7.0,1.1,1.4,1.2,False,"Jiló, cru",0.5
61,Kiwi,61.0,14.9,0.44,0.99,1.9,False,"Kiwi, cru",0.5
61,Leite com chocolate e açúcar,91.48,13.55,3.11,3.1,0.23,False,"Chocolate, ao leite",0.5
62,Leite condensado -Moça Nestlé®,326.0,55.2,8.4,7.6,,False,"Leite, condensado",0.5
62,Leite condensado desnatado-Glória®,289.0,62.0,0.8,8.5,,False,"Leite, condensado",0.5
62,Leite condensado desnatado -Moça,275.0,58.6,0.4,,,False,"Leite, condensado",0.5
62,"Leite em pó desnatado-Glória® 361 ,00",54.0,1.0,,34.0,,False,"Leite, de vaca, desnatado, pó",0.429
62,Leite cm pó desnatado-Molico Nestlé®,360.0,52.9,1.0,34.9,0.0,False,"Leite, de vaca, desnatado, pó",0.429
63,Leite em pó integral -Ninho Nestlé®,495.0,38.8,26.0,26.4,,False,"Leite, de vaca, integral, pó",0.5
63,Leite em pó integral (crianças maiores,499.0,45.3,2.6,,21.0,False,"Leite, de vaca, integral, pó",0.5
64,Leite em pó sem i desnatado -Bônus,427.0,46.2,13.0,,,False,"Leite, de vaca, desnatado, pó",0.5
64,"Leite fermentado gérmen de trigo,",101.0,17.6,1.5,,,False,"Leite, fermentado",0.5
64,Leite fermentado papaya e laranja,95.0,16.2,1.5,,,False,"Leite, fermentado",0.5
64,Leite gelificado chocolate -Nestlé®,128.2,22.36,2.82,,,False,"Chocolate, ao leite",0.4
64,Leite integral com ferro (sulfato,61.0,6.1,1.8,,,False,"Canjica, com leite integral",0.4
65,Leite Nesquik chocolate alpino,85.0,14.0,2.4,,,False,"Chocolate, ao leite",0.4
67,Língua bovina (crua) 207' 1o,0.0,15.9,,16.0,0.0,False,"Carne, bovina, língua, crua",0.5
67,Lingüiça de porco cozida,369.0,1.04,31.2,19.7,0.0,False,"Lingüiça, porco, crua",0.5
67,Maçã (sem casca),57.0,14.8,0.31,0.15,1.9,False,"Maçã, Argentina, com casca, crua",0.5
69,Maionese tradicional-Capriccio Cica®,727.0,3.0,79.0,1.0,,False,"Maionese, tradicional com ovos",0.4
69,Maionese tradicional -Gourmet®,737.0,1.7,81.0,1.0,,False,"Maionese, tradicional com ovos",0.5
69,Maionese tradicional -Hellmann's®,713.3,,0.33,1.33,,False,"Maionese, tradicional com ovos",0.4
69,Maionese tradicional -Maionegg's®,707.1,1.43,77.86,1.43,,False,"Maionese, tradicional com ovos",0.4
70,Maminha (crua),288.01,0.0,17.39,30.7,0.0,False,"Carne, bovina, maminha, crua",0.5
70,Mandioca,120.0,26.9,0.39,3.11,1.65,False,"Fécula, de mandioca",0.5
70,Manjar branco com ameixa em calda,156.64,30.57,3.57,1.86,0.77,False,"Ameixa, calda, enlatada",0.4
70,Manjar com calda de ameixa pronto,210.0,42.7,3.0,,,False,"Ameixa, calda, enlatada",0.4
71,Maracujá,97.0,23.4,0.7,2.21,10.4,False,"Maracujá, cru",0.5
72,Massa de lasanha com ovos,358.0,74.0,1.5,,,False,"Lasanha, massa fresca, cozida",0.4
72,Mel,304.0,82.4,0.0,0.3,0.2,False,"Mel, de abelha",0.5
72,Melancia,25.0,6.2,0.1,0.5,0.5,False,"Melancia, crua",0.5
72,Melão,32.0,7.19,0.43,0.62,0.23,False,"Melão, cru",0.5
74,Miolo bovino (cru),128.27,0.0,9.63,10.4,0.0,False,"Hambúrguer, bovino, cru",0.5
75,Molho de tomate bolonhesa -Cica®,88.0,10.0,3.3,4.6,,False,"Tomate, molho industrializado",0.4
75,Molho de tomate calabresa -Maggi®,106.0,7.8,6.7,3.6,,False,"Tomate, molho industrializado",0.4
75,Molho de tomate com carne,66.6,6.91,3.2,,,False,"Tomate, molho industrializado",0.5
75,Molho de tomate matriciana -Maggi®,92.0,6.1,6.5,2.2,,False,"Tomate, molho industrializado",0.4
75,Molho de tomate pizza -Maggi®,76.5,6.0,,1.6,,False,"Tomate, molho industrializado",0.4
75,Molho de tomate refogado peneirado,71.0,,8.6,,,False,"Tomate, molho industrializado",0.4
76,Molho de tomate refogado receita,64.3,6.6,3.71,,,False,"Tomate, molho industrializado",0.4
76,Molho de tomate refogado receita,35.1,6.8,0.6,,,False,"Tomate, molho industrializado",0.4
76,Molho de tomate refogado tradicional,51.7,8.11,1.6,,,False,"Tomate, molho industrializado",0.4
76,Molho de tomate tradicional,53.0,8.5,1.5,,,False,"Tomate, molho industrializado",0.5
76,Morango,30.0,7.03,0.37,0.61,1.53,False,"Morango, cru",0.5
76,Mostarda folha (cozida),15.0,2.11,0.24,2.27,2.0,False,"Mostarda, folha, crua",0.5
77,Mostarda folha refogada,45.74,5.35,2.28,2.45,1.9,False,"Mostarda, folha, crua",0.5
77,Mostarda molho industrializado I,75.0,6.4,4.6,4.7,2.7,False,"Tomate, molho industrializado",0.4
77,Músculo (cozido),244.0,0.0,12.0,31.6,0.0,False,"Carne, bovina, músculo, sem gordura, cozido",0.4
