page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
36,Chocolate Diamante Negro -Lacta®,520.0,62.67,27.0,7.0,0.33,False,"Bolo, pronto, chocolate",0.167
36,Chocolate Diplomata -Ncstlé®,544.0,58.5,30.7,8.1,,False,"Bolo, pronto, chocolate",0.2
36,Chocolate em pó-Dois Frades Nestlé®,349.0,60.0,8.0,9.3,,False,"Achocolatado, pó",0.167
36,Chocolate em pó -Garoto®,326.0,81.0,60.0,9.5,,False,"Achocolatado, pó",0.25
36,Chocolate Galak -Nestlé®,562.0,50.8,35.1,10.6,,False,"Bolo, pronto, chocolate",0.2
36,Chocolate Galak biscuit -Ncstlé®,535.7,58.92,30.0,7.85,,False,"Bolo, pronto, chocolate",0.167
36,Chocolate Galak com Corn Flakes,533.9,55.0,,,,False,"Bolo, pronto, chocolate",0.167
36,Chocolate Galak com Ncgresco,522.2,55.39,28.78,,,False,"Bolo, pronto, chocolate",0.2
36,"Chocolate Hawaí -Especialidades 441 ,40",74.48,13.79,,,,False,"Bolo, pronto, chocolate",0.143
36,Chocolate Kit Kat -Nestlé®,500.0,59.58,25.63,7.71,,False,"Bolo, pronto, chocolate",0.167
36,Chocolate Krot -Lacta®,563.3,47.0,35.67,13.33,0.66,False,"Bolo, pronto, chocolate",0.2
36,Chocolate Laka -Lacta®,550.0,55.0,32.33,9.67,,False,"Bolo, pronto, chocolate",0.2
36,Chocolate Lancy -Lacta®,533.0,60.0,29.0,8.0,0.66,False,"Bolo, pronto, chocolate",0.2
36,Chocolate Lococo -Especialidades,455.2,67.59,19.31,,,False,"Bolo, pronto, chocolate",0.2
37,"Chocolate M&M's® 50 I ,00",70.98,20.87,8.35,4.17,2.08,False,"Bolo, pronto, chocolate",0.125
37,Chocolate Magic -Nestlé®,540.0,56.0,32.0,7.0,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Milkybar -Nestlé®,464.0,73.2,18.0,2.8,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Nescau -Nestlé®,545.0,57.5,31.75,7.25,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Nescau Ball -Nestlé®,483.0,66.6,21.66,5.33,,False,"Bolo, pronto, chocolate",0.167
37,Chocolate Noblesse-Especialidades,560.0,54.0,35.0,,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Prestígio -Ncstlé®,434.0,73.7,13.7,3.7,,False,"Bolo, pronto, chocolate",0.2
37,Chocolate Prestígio Biscuit -Nestlé®,528.6,63.92,27.5,6.07,,False,"Bolo, pronto, chocolate",0.167
